,sample_id,model,auc
0,mda_c_spk4000_ut1000_d11000_d5100_d10100,LogisticRegression,0.8646478873239437
1,mda_c_spk4000_ut1000_d11000_d5100_d10100,RandomForest,0.8387525150905433
2,mda_c_spk4000_ut1000_d11000_d5100_d10100,XGBoost,0.8306187122736419
3,mda_c_spk4000_ut1000_d11000_d5100_d10100,SVM,0.8265694164989938
4,mda_c_spk4000_ut1000_d11000_d5100_d10100,NeuralNet,0.8628169014084507
5,mda_c_spk4000_ut1000_d11000_d5250_d10250,LogisticRegression,0.8612434607645875
6,mda_c_spk4000_ut1000_d11000_d5250_d10250,RandomForest,0.8424708249496982
7,mda_c_spk4000_ut1000_d11000_d5250_d10250,XGBoost,0.8322193158953722
8,mda_c_spk4000_ut1000_d11000_d5250_d10250,SVM,0.8129024144869215
9,mda_c_spk4000_ut1000_d11000_d5250_d10250,NeuralNet,0.8566861167002011
10,mda_c_spk4000_ut1000_d11000_d550_d1050,LogisticRegression,0.8676358148893359
11,mda_c_spk4000_ut1000_d11000_d550_d1050,RandomForest,0.8181639839034206
12,mda_c_spk4000_ut1000_d11000_d550_d1050,XGBoost,0.8324647887323944
13,mda_c_spk4000_ut1000_d11000_d550_d1050,SVM,0.8042907444668007
14,mda_c_spk4000_ut1000_d11000_d550_d1050,NeuralNet,0.8702515090543259
15,mda_c_spk4000_ut1000_d11000_d510_d1010,LogisticRegression,0.8860160965794769
16,mda_c_spk4000_ut1000_d11000_d510_d1010,RandomForest,0.851986921529175
17,mda_c_spk4000_ut1000_d11000_d510_d1010,XGBoost,0.8496981891348089
18,mda_c_spk4000_ut1000_d11000_d510_d1010,SVM,0.8532193158953723
19,mda_c_spk4000_ut1000_d11000_d510_d1010,NeuralNet,0.8897887323943662
20,mda_c_spk6000_ut3000_d13000_d510_d1010,LogisticRegression,0.8761378848728246
21,mda_c_spk6000_ut3000_d13000_d510_d1010,RandomForest,0.8432647255689424
22,mda_c_spk6000_ut3000_d13000_d510_d1010,XGBoost,0.8342034805890227
23,mda_c_spk6000_ut3000_d13000_d510_d1010,SVM,0.8436579651941097
24,mda_c_spk6000_ut3000_d13000_d510_d1010,NeuralNet,0.873293172690763
25,mda_c_spk4000_ut1000_d11000_d5500_d10500,LogisticRegression,0.8559647887323942
26,mda_c_spk4000_ut1000_d11000_d5500_d10500,RandomForest,0.8441277665995975
27,mda_c_spk4000_ut1000_d11000_d5500_d10500,XGBoost,0.8336136820925554
28,mda_c_spk4000_ut1000_d11000_d5500_d10500,SVM,0.8216217303822937
29,mda_c_spk4000_ut1000_d11000_d5500_d10500,NeuralNet,0.8564507042253522
30,mda_c_spk4000_ut1000_d11000_d525_d1025,LogisticRegression,0.8237223340040241
31,mda_c_spk4000_ut1000_d11000_d525_d1025,RandomForest,0.7930382293762576
32,mda_c_spk4000_ut1000_d11000_d525_d1025,XGBoost,0.8028169014084507
33,mda_c_spk4000_ut1000_d11000_d525_d1025,SVM,0.7968812877263581
34,mda_c_spk4000_ut1000_d11000_d525_d1025,NeuralNet,0.8340241448692153
35,mda_c_spk4000_ut2000_d12000_d510_d1010,LogisticRegression,0.8807286432160804
36,mda_c_spk4000_ut2000_d12000_d510_d1010,RandomForest,0.8415829145728643
37,mda_c_spk4000_ut2000_d12000_d510_d1010,XGBoost,0.8260050251256281
38,mda_c_spk4000_ut2000_d12000_d510_d1010,SVM,0.8473869346733669
39,mda_c_spk4000_ut2000_d12000_d510_d1010,NeuralNet,0.8826633165829145
40,mda_c_spk10000_ut5000_d15000_d510_d1010,LogisticRegression,0.8864056224899598
41,mda_c_spk10000_ut5000_d15000_d510_d1010,RandomForest,0.8479819277108434
42,mda_c_spk10000_ut5000_d15000_d510_d1010,XGBoost,0.8516967871485943
43,mda_c_spk10000_ut5000_d15000_d510_d1010,SVM,0.8532028112449799
44,mda_c_spk10000_ut5000_d15000_d510_d1010,NeuralNet,0.8858132530120482
45,mda_c_spk8000_ut4000_d14000_d510_d1010,LogisticRegression,0.8806552849610847
46,mda_c_spk8000_ut4000_d14000_d510_d1010,RandomForest,0.8397125282450415
47,mda_c_spk8000_ut4000_d14000_d510_d1010,XGBoost,0.8358523725834799
48,mda_c_spk8000_ut4000_d14000_d510_d1010,SVM,0.8385262365051469
49,mda_c_spk8000_ut4000_d14000_d510_d1010,NeuralNet,0.8788601556615616
